"MSZoning","LotFrontage","Utilities","MasVnrType","MasVnrArea","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Electrical","BsmtFullBath","BsmtHalfBath","KitchenQual","Functional","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","MSSubClass","LotArea","Street","LotShape","LandContour","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","ExterQual","ExterCond","Foundation","Heating","HeatingQC","CentralAir","X1stFlrSF","X2ndFlrSF","GrLivArea","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","TotRmsAbvGrd","Fireplaces","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","MoSold","YrSold","SaleType","SaleCondition"
"RL",65,"AllPub","BrkFace",60,"TA","TA","No","BLQ",432,"Unf",0,460,892,"SBrkr",0,0,"TA","Typ","Attchd",1967,"RFn",1,288,"TA","TA",20,7150,"Pave","Reg","Lvl","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,5,1967,1967,"Gable","CompShg","HdBoard","HdBoard","TA","TA","CBlock","GasA","TA","Y",892,0,892,1,0,3,1,5,0,"Y",0,0,0,7,2009,"WD","Normal"
"RL",78,"AllPub","None",0,"Gd","TA","Av","GLQ",773,"Unf",0,115,888,"SBrkr",1,0,"TA","Typ","Attchd",1978,"RFn",2,470,"TA","TA",85,7540,"Pave","IR1","Lvl","CulDSac","Gtl","Mitchel","Norm","Norm","1Fam","SFoyer",6,6,1978,1978,"Gable","CompShg","VinylSd","VinylSd","TA","TA","CBlock","GasA","Ex","Y",912,0,912,1,0,2,1,5,1,"Y",0,0,0,6,2007,"WD","Normal"
"RM",60,"AllPub","None",0,"TA","TA","No","Unf",0,"Unf",0,1040,1040,"SBrkr",0,0,"TA","Typ","Detchd",1993,"Unf",2,320,"TA","TA",30,7200,"Pave","Reg","Lvl","Corner","Gtl","IDOTRR","Norm","Norm","1Fam","1Story",6,7,1925,1992,"Gable","CompShg","VinylSd","VinylSd","TA","TA","CBlock","GasA","Gd","Y",1040,0,1040,1,0,2,1,5,0,"Y",0,132,0,7,2008,"WD","Normal"
"RL",85,"AllPub","None",0,"TA","TA","No","ALQ",360,"Unf",0,360,720,"SBrkr",0,0,"TA","Typ","Attchd",1964,"Fin",2,480,"TA","TA",60,9350,"Pave","Reg","Lvl","Inside","Gtl","NAmes","Norm","Norm","1Fam","2Story",5,6,1964,1964,"Gable","CompShg","HdBoard","HdBoard","TA","TA","CBlock","GasA","Gd","Y",720,720,1440,1,1,4,1,7,1,"Y",0,32,240,7,2006,"WD","Normal"
"RL",67,"AllPub","Stone",136,"Gd","TA","No","GLQ",833,"Unf",0,343,1176,"SBrkr",1,0,"Gd","Typ","Attchd",2003,"RFn",2,555,"TA","TA",20,10083,"Pave","Reg","Lvl","Inside","Gtl","SawyerW","Norm","Norm","1Fam","1Story",7,5,2003,2003,"Gable","CompShg","VinylSd","VinylSd","Gd","TA","PConc","GasA","Ex","Y",1200,0,1200,2,0,2,1,5,0,"Y",0,41,0,8,2009,"WD","Normal"
"RL",85,"AllPub","BrkFace",141,"Gd","TA","No","Rec",331,"Unf",0,345,676,"SBrkr",0,0,"TA","Typ","Attchd",1986,"RFn",2,465,"TA","TA",60,10274,"Pave","IR1","Lvl","CulDSac","Gtl","SawyerW","Norm","Norm","1Fam","2Story",6,7,1986,1986,"Gable","CompShg","VinylSd","VinylSd","TA","Gd","CBlock","GasA","TA","Y",698,702,1400,2,1,3,1,6,0,"Y",0,48,0,7,2009,"WD","Normal"
"RL",43,"AllPub","BrkFace",16,"Gd","TA","Av","GLQ",16,"Unf",0,1204,1220,"SBrkr",0,0,"Gd","Typ","Attchd",2005,"Fin",2,397,"TA","TA",120,3182,"Pave","Reg","Lvl","Inside","Gtl","Blmngtn","Norm","Norm","TwnhsE","1Story",7,5,2005,2006,"Gable","CompShg","VinylSd","VinylSd","Gd","TA","PConc","GasA","Ex","Y",1220,0,1220,2,0,2,1,5,1,"Y",100,16,0,8,2009,"WD","Normal"
"RL",70,"AllPub","None",0,"TA","TA","No","ALQ",72,"Rec",258,733,1063,"SBrkr",1,0,"Gd","Typ","Detchd",1997,"Fin",2,576,"TA","TA",20,9830,"Pave","IR1","Lvl","Corner","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,7,1959,2006,"Gable","CompShg","Wd Sdng","Wd Sdng","TA","Gd","CBlock","GasA","Ex","Y",1287,0,1287,1,0,3,1,7,1,"Y",364,17,0,3,2010,"WD","Normal"
"RL",85,"AllPub","None",0,"Gd","TA","Gd","GLQ",637,"Unf",0,663,1300,"SBrkr",1,0,"Gd","Typ","Attchd",1990,"Unf",2,506,"TA","TA",20,10176,"Pave","Reg","Lvl","Inside","Gtl","Gilbert","Norm","Norm","1Fam","1Story",7,5,1990,1990,"Gable","CompShg","HdBoard","HdBoard","TA","TA","PConc","GasA","Gd","Y",1341,0,1341,1,1,2,1,5,1,"Y",192,0,0,2,2010,"WD","Normal"
"RL",60,"AllPub","None",0,"TA","TA","No","BLQ",408,"Unf",0,456,864,"SBrkr",0,0,"Ex","Typ","Detchd",1962,"Unf",1,336,"TA","TA",20,11556,"Pave","Reg","Lvl","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,9,1953,2006,"Gable","CompShg","VinylSd","MetalSd","TA","Ex","CBlock","GasA","Gd","Y",1154,0,1154,1,1,3,1,6,0,"Y",63,0,0,7,2007,"WD","Normal"
