"","x","y"
"1",0,531.340753825672
"2",0.25,831.012238298327
"3",0.5,771.13404875273
"4",0.75,436.089814660296
"5",1,798.297007828808
"6",1.25,970.446372567286
"7",1.5,669.370318288525
"8",1.75,1338.15076701478
"9",2,1116.1191327679
"10",2.25,1424.70703382239
"11",2.5,1845.3994778915
"12",2.75,2114.56830380707
"13",3,1924.35707073829
"14",3.25,2106.53603005808
"15",3.5,2316.74076564955
"16",3.75,2764.63442685717
"17",4,2608.49859011032
"18",4.25,3179.64208795732
"19",4.5,3396.85588237017
"20",4.75,3715.11913907307
"21",5,3841.21868576324
