"MSSubClass","MSZoning","LotFrontage","LotArea","Street","LotShape","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","MoSold","YrSold","SaleType","SaleCondition"
20,"RL",65,7150,"Pave","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,5,1967,1967,"Gable","CompShg","HdBoard","HdBoard","BrkFace",60,"TA","TA","CBlock","TA","TA","No","BLQ",432,"Unf",0,460,892,"GasA","TA","Y","SBrkr",892,0,892,0,0,1,0,3,1,"TA",5,"Typ",0,"Attchd",1967,"RFn",1,288,"TA","TA","Y",0,0,0,7,2009,"WD","Normal"
85,"RL",77.7634259233363,7540,"Pave","IR1","Lvl","AllPub","CulDSac","Gtl","Mitchel","Norm","Norm","1Fam","SFoyer",6,6,1978,1978,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","CBlock","Gd","TA","Av","GLQ",773,"Unf",0,115,888,"GasA","Ex","Y","SBrkr",912,0,912,1,0,1,0,2,1,"TA",5,"Typ",1,"Attchd",1978,"RFn",2,470,"TA","TA","Y",0,0,0,6,2007,"WD","Normal"
30,"RM",60,7200,"Pave","Reg","Lvl","AllPub","Corner","Gtl","IDOTRR","Norm","Norm","1Fam","1Story",6,7,1925,1992,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","CBlock","TA","TA","No","Unf",0,"Unf",0,1040,1040,"GasA","Gd","Y","SBrkr",1040,0,1040,0,0,1,0,2,1,"TA",5,"Typ",0,"Detchd",1993,"Unf",2,320,"TA","TA","Y",0,132,0,7,2008,"WD","Normal"
60,"RL",85,9350,"Pave","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","2Story",5,6,1964,1964,"Gable","CompShg","HdBoard","HdBoard","None",0,"TA","TA","CBlock","TA","TA","No","ALQ",360,"Unf",0,360,720,"GasA","Gd","Y","SBrkr",720,720,1440,0,0,1,1,4,1,"TA",7,"Typ",1,"Attchd",1964,"Fin",2,480,"TA","TA","Y",0,32,240,7,2006,"WD","Normal"
20,"RL",67,10083,"Pave","Reg","Lvl","AllPub","Inside","Gtl","SawyerW","Norm","Norm","1Fam","1Story",7,5,2003,2003,"Gable","CompShg","VinylSd","VinylSd","BrkFace",6.45919279173118,"Gd","TA","PConc","Gd","TA","No","GLQ",833,"Unf",0,343,1176,"GasA","Ex","Y","SBrkr",1200,0,1200,1,0,2,0,2,1,"Gd",5,"Typ",0,"Attchd",2003,"RFn",2,555,"TA","TA","Y",0,41,0,8,2009,"WD","Normal"
60,"RL",69.4692707429625,10274,"Pave","IR1","Lvl","AllPub","CulDSac","Gtl","SawyerW","Norm","Norm","1Fam","2Story",6,7,1986,1986,"Gable","CompShg","VinylSd","VinylSd","BrkFace",141,"TA","Gd","CBlock","Gd","TA","No","Rec",331,"Unf",0,345,676,"GasA","TA","Y","SBrkr",698,702,1400,0,0,2,1,3,1,"TA",6,"Typ",0,"Attchd",1986,"RFn",2,465,"TA","TA","Y",0,48,0,7,2009,"WD","Normal"
120,"RL",43,3182,"Pave","Reg","Lvl","AllPub","Inside","Gtl","Blmngtn","Norm","Norm","TwnhsE","1Story",7,5,2005,2006,"Gable","CompShg","VinylSd","VinylSd","BrkFace",16,"Gd","TA","PConc","Gd","TA","Av","GLQ",16,"Unf",0,1204,1220,"GasA","Ex","Y","SBrkr",1220,0,1220,0,0,2,0,2,1,"Gd",5,"Typ",1,"Attchd",2005,"Fin",2,397,"TA","TA","Y",100,16,0,8,2009,"WD","Normal"
20,"RL",68.2079237460722,9830,"Pave","IR1","Lvl","AllPub","Corner","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,7,1959,2006,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","Gd","CBlock","TA","TA","No","ALQ",72,"Rec",258,733,1063,"GasA","Ex","Y","SBrkr",1287,0,1287,1,0,1,0,3,1,"Gd",7,"Typ",1,"Detchd",1997,"Fin",2,576,"TA","TA","Y",364,17,0,3,2010,"WD","Normal"
20,"RL",85,10176,"Pave","Reg","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","1Story",7,5,1990,1990,"Gable","CompShg","HdBoard","HdBoard","None",0,"TA","TA","PConc","Gd","TA","Gd","GLQ",637,"Unf",0,663,1300,"GasA","Gd","Y","SBrkr",1341,0,1341,1,0,1,1,2,1,"Gd",5,"Typ",1,"Attchd",1990,"Unf",2,506,"TA","TA","Y",192,0,0,2,2010,"WD","Normal"
20,"RL",60,11556,"Pave","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,9,1953,2006,"Gable","CompShg","VinylSd","MetalSd","None",0,"TA","Ex","CBlock","TA","TA","No","BLQ",408,"Unf",0,456,864,"GasA","Gd","Y","SBrkr",1154,0,1154,0,0,1,1,3,1,"Ex",6,"Typ",0,"Detchd",1962,"Unf",1,336,"TA","TA","Y",63,0,0,7,2007,"WD","Normal"
